Z	Sembol	Element	Grup
1	H	Hidrojen	1A
2	He	Helyum	8A
3	Li	Lityum	1A
4	Be	Berilyum	2A
5	B	Bor	3A
6	C	Karbon	4A
7	N	Azot	5A
8	O	Oksijen	6A
9	F	Flor	7A
10	Ne	Neon	8A
11	Na	Sodyum	1A
12	Mg	Magnezyum	2A
13	Al	Aluminyum	3A
14	Si	Silisyum	4A
15	P	Fosfor	5A
16	S	Kükürt	6A
17	Cl	Klor	7A
18	Ar	Argon	8A
19	K	Potasyum	1A
20	Ca	Kalsiyum	2A
21	Sc	Skandiyum	3B
22	Ti	Titanyum	4B
23	V	Vanadyum	5B
24	Cr	Krom	6B
25	Mn	Mangan	7B
26	Fe	Demir	8B
27	Co	Kobalt	8B
28	Ni	Nikel	8B
29	Cu	Bakır	1B
30	Zn	Çinko	2B
31	Ga	Galyum	3A
32	Ge	Germanyum	4A
33	As	Arsenik	5A
34	Se	Selenyum	6A
35	Br	Brom	7A
36	Kr	Kripton	8A
37	Rb	Rubidyum	1A
38	Sr	Strontiyum	2A
39	Y	İtriyum	3B
40	Zr	Zirkon	4B
41	Nb	Niobyum	5B
42	Mo	Molibden	6B
43	Tc	Tekhnetyum	7B
44	Ru	Rutenyum	8B
45	Rh	Rodyum	8B
46	Pd	Paladyum	8B
47	Ag	Gümüş	1B
48	Cd	Kadmiyum	2B
49	In	İndiyum	3A
50	Sn	Kalay	4A
51	Sb	Antimon	5A
52	Te	Tellür	6A
53	I	Iyot	7A
54	Xe	Ksenon	8A
55	Cs	Sezyum	1A
56	Ba	Baryum	2A
57	La	Lantan	3B
58	Ce	Seryum	3B
59	Pr	Praseodim	3B
60	Nd	Neodim	3B
61	Pm	Prometyum	3B
62	Sm	Samaryum	3B
63	Eu	Evropyum	3B
64	Gd	Gadolinyum	3B
65	Tb	Terbiyum	3B
66	Dy	Disprosiyum	3B
67	Ho	Holmiyum	3B
68	Er	Erbiyum	3B
69	Tm	Tulyum	3B
70	Yb	İtterbiyum	3B
71	Lu	Lutetyum	3B
72	Hf	Hafniyum	4B
73	Ta	Tantal	5B
74	W	Tungsten	6B
75	Re	Renyum	7B
76	Os	Osmiyum	8B
77	Ir	İridyum	8B
78	Pt	Platin	8B
79	Au	Altın	1B
80	Hg	Cıva	2B
81	Tl	Talyum	3A
82	Pb	Kurşun	4A
83	Bi	Bizmut	5A
84	Po	Polonyum	6A
85	At	Astatin	7A
86	Rn	Radon	8A
87	Fr	Fransiyum	1A
88	Ra	Radyum	2A
89	Ac	Aktinyum	3B
90	Th	Toryum	3B
91	Pa	Protaktinyum	3B
92	U	Uranyum	3B
93	Np	Neptünyum	3B
94	Pu	Plutonyum	3B
95	Am	Amerikyum	3B
96	Cm	Kuriyum	3B
97	Bk	Berkelyum	3B
98	Cf	Kaliforniyum	3B
99	Es	Einsteinium	3B
100	Fm	Fermiyum	3B
101	Md	Mendelevyum	3B
102	No	Nobelyum	3B
103	Lr	Lavrensiyum	3B
104	Rf	Rutherfordiyum	4B
105	Db	Dubniyum	5B
106	Sg	Seaborgiyum	6B
107	Bh	Bohriyum	7B
108	Hs	Hassiyum	8B
109	Mt	Meitneriyum	8B
110	Ds	Darmstadtiyum	8B
111	Rg	Roentgenium	1B
112	Cn	Copernicium	2B
113	Nh	Nihonium	3A
114	Fl	Flerovium	4A
115	Mc	Moscovium	5A
116	Lv	Livermorium	6A
117	Ts	Tennessine	7A
118	Og	Oganesson	8A
